barista_count_setting,interarrival_setting,caseid,time,activity
human_2,1,1,104,arrival
human_2,1,1,104,join_queue
human_2,1,1,104,begin_service
human_2,1,2,119,arrival
human_2,1,2,119,join_queue
human_2,1,2,119,begin_service
human_2,1,1,164,end_service
human_2,1,3,166,arrival
human_2,1,3,166,join_queue
human_2,1,3,166,begin_service
human_2,1,4,178,arrival
human_2,1,4,178,join_queue
human_2,1,2,179,end_service
human_2,1,4,179,begin_service
human_2,1,3,226,end_service
human_2,1,5,234,arrival
human_2,1,5,234,join_queue
human_2,1,5,234,begin_service
human_2,1,4,240,end_service
human_2,1,6,296,arrival
human_2,1,6,296,join_queue
human_2,1,6,296,begin_service
human_2,1,6,356,end_service
human_2,1,7,384,arrival
human_2,1,7,384,join_queue
human_2,1,7,384,begin_service
human_2,1,5,414,end_service
human_2,1,8,416,arrival
human_2,1,8,416,join_queue
human_2,1,8,416,begin_service
human_2,1,9,443,arrival
human_2,1,9,443,join_queue
human_2,1,7,444,end_service
human_2,1,9,444,begin_service
human_2,1,8,476,end_service
human_2,1,10,495,arrival
human_2,1,10,495,join_queue
human_2,1,10,495,begin_service
human_2,1,9,504,end_service
human_2,1,11,519,arrival
human_2,1,11,519,join_queue
human_2,1,11,519,begin_service
human_2,1,12,530,arrival
human_2,1,12,530,join_queue
human_2,1,13,578,arrival
human_2,1,13,578,join_queue
human_2,1,11,579,end_service
human_2,1,12,579,begin_service
human_2,1,14,633,arrival
human_2,1,14,633,join_queue
human_2,1,12,639,end_service
human_2,1,13,639,begin_service
human_2,1,10,667,end_service
human_2,1,14,667,begin_service
human_2,1,15,671,arrival
human_2,1,15,671,join_queue
human_2,1,16,711,arrival
human_2,1,16,711,join_queue
human_2,1,17,735,arrival
human_2,1,17,735,join_queue
human_2,1,14,736,end_service
human_2,1,15,736,begin_service
human_2,1,18,787,arrival
human_2,1,18,787,join_queue
human_2,1,13,819,end_service
human_2,1,16,819,begin_service
human_2,1,19,834,arrival
human_2,1,19,834,join_queue
human_2,1,15,838,end_service
human_2,1,17,838,begin_service
human_2,1,20,925,arrival
human_2,1,20,925,join_queue
human_2,1,21,931,arrival
human_2,1,21,931,join_queue
human_2,1,17,950,end_service
human_2,1,18,950,begin_service
human_2,1,16,999,end_service
human_2,1,19,999,begin_service
human_2,1,18,1010,end_service
human_2,1,20,1010,begin_service
human_2,1,19,1059,end_service
human_2,1,21,1059,begin_service
human_2,1,20,1070,end_service
human_2,1,22,1114,arrival
human_2,1,22,1114,join_queue
human_2,1,22,1114,begin_service
human_2,1,23,1115,arrival
human_2,1,23,1115,join_queue
human_2,1,21,1119,end_service
human_2,1,23,1119,begin_service
human_2,1,24,1179,arrival
human_2,1,24,1179,join_queue
human_2,1,25,1196,arrival
human_2,1,25,1196,join_queue
human_2,1,22,1205,end_service
human_2,1,24,1205,begin_service
human_2,1,26,1206,arrival
human_2,1,26,1206,join_queue
human_2,1,27,1233,arrival
human_2,1,27,1233,join_queue
human_2,1,23,1250,end_service
human_2,1,25,1250,begin_service
human_2,1,28,1285,arrival
human_2,1,28,1285,join_queue
human_2,1,25,1311,end_service
human_2,1,26,1311,begin_service
human_2,1,26,1374,end_service
human_2,1,27,1374,begin_service
human_2,1,24,1385,end_service
human_2,1,28,1385,begin_service
human_2,1,29,1389,arrival
human_2,1,29,1389,join_queue
human_2,1,30,1392,arrival
human_2,1,30,1392,join_queue
human_2,1,28,1445,end_service
human_2,1,29,1445,begin_service
human_2,1,27,1474,end_service
human_2,1,30,1474,begin_service
human_2,1,31,1484,arrival
human_2,1,31,1484,join_queue
human_2,1,32,1486,arrival
human_2,1,32,1486,join_queue
human_2,1,30,1534,end_service
human_2,1,31,1534,begin_service
human_2,1,33,1543,arrival
human_2,1,33,1543,join_queue
human_2,1,31,1594,end_service
human_2,1,32,1594,begin_service
human_2,1,29,1625,end_service
human_2,1,33,1625,begin_service
human_2,1,34,1670,arrival
human_2,1,34,1670,join_queue
human_2,1,35,1719,arrival
human_2,1,35,1719,join_queue
human_2,1,36,1733,arrival
human_2,1,36,1733,join_queue
human_2,1,32,1774,end_service
human_2,1,34,1774,begin_service
human_2,1,33,1778,end_service
human_2,1,35,1778,begin_service
human_2,1,37,1793,arrival
human_2,1,37,1793,join_queue
human_2,1,38,1816,arrival
human_2,1,38,1816,join_queue
human_2,1,39,1818,arrival
human_2,1,39,1818,join_queue
human_2,1,34,1834,end_service
human_2,1,36,1834,begin_service
human_2,1,35,1838,end_service
human_2,1,37,1838,begin_service
human_2,1,40,1867,arrival
human_2,1,40,1867,join_queue
human_2,1,41,1887,arrival
human_2,1,41,1887,join_queue
human_2,1,42,1895,arrival
human_2,1,42,1895,join_queue
human_2,1,37,1898,end_service
human_2,1,38,1898,begin_service
human_2,1,36,1905,end_service
human_2,1,39,1905,begin_service
human_2,1,43,1921,arrival
human_2,1,43,1921,join_queue
human_2,1,38,1958,end_service
human_2,1,40,1958,begin_service
human_2,1,39,1965,end_service
human_2,1,41,1965,begin_service
human_2,1,44,1976,arrival
human_2,1,44,1976,join_queue
human_2,1,45,2003,arrival
human_2,1,45,2003,join_queue
human_2,1,40,2018,end_service
human_2,1,46,2018,arrival
human_2,1,46,2018,join_queue
human_2,1,42,2018,begin_service
human_2,1,41,2025,end_service
human_2,1,43,2025,begin_service
human_2,1,42,2078,end_service
human_2,1,44,2078,begin_service
human_2,1,43,2085,end_service
human_2,1,45,2085,begin_service
human_2,1,44,2138,end_service
human_2,1,46,2138,begin_service
human_2,1,45,2145,end_service
human_2,1,47,2163,arrival
human_2,1,47,2163,join_queue
human_2,1,47,2163,begin_service
human_2,1,46,2198,end_service
human_2,1,48,2200,arrival
human_2,1,48,2200,join_queue
human_2,1,48,2200,begin_service
human_2,1,47,2228,end_service
human_2,1,49,2303,arrival
human_2,1,49,2303,join_queue
human_2,1,49,2303,begin_service
human_2,1,49,2363,end_service
human_2,1,48,2365,end_service
human_2,1,50,2383,arrival
human_2,1,50,2383,join_queue
human_2,1,50,2383,begin_service
human_2,1,51,2406,arrival
human_2,1,51,2406,join_queue
human_2,1,51,2406,begin_service
human_2,1,52,2408,arrival
human_2,1,52,2408,join_queue
human_2,1,53,2423,arrival
human_2,1,53,2423,join_queue
human_2,1,54,2423,arrival
human_2,1,54,2423,join_queue
human_2,1,50,2443,end_service
human_2,1,52,2443,begin_service
human_2,1,51,2466,end_service
human_2,1,53,2466,begin_service
human_2,1,52,2505,end_service
human_2,1,54,2505,begin_service
human_2,1,55,2515,arrival
human_2,1,55,2515,join_queue
human_2,1,56,2520,arrival
human_2,1,56,2520,join_queue
human_2,1,53,2526,end_service
human_2,1,55,2526,begin_service
human_2,1,54,2565,end_service
human_2,1,56,2565,begin_service
human_2,1,57,2567,arrival
human_2,1,57,2567,join_queue
human_2,1,58,2612,arrival
human_2,1,58,2612,join_queue
human_2,1,59,2620,arrival
human_2,1,59,2620,join_queue
human_2,1,56,2625,end_service
human_2,1,57,2625,begin_service
human_2,1,55,2635,end_service
human_2,1,58,2635,begin_service
human_2,1,58,2716,end_service
human_2,1,59,2716,begin_service
human_2,1,60,2768,arrival
human_2,1,60,2768,join_queue
human_2,1,61,2795,arrival
human_2,1,61,2795,join_queue
human_2,1,59,2801,end_service
human_2,1,60,2801,begin_service
human_2,1,57,2805,end_service
human_2,1,61,2805,begin_service
human_2,1,62,2856,arrival
human_2,1,62,2856,join_queue
human_2,1,60,2861,end_service
human_2,1,62,2861,begin_service
human_2,1,61,2865,end_service
human_2,1,63,2865,arrival
human_2,1,63,2865,join_queue
human_2,1,63,2865,begin_service
human_2,1,64,2939,arrival
human_2,1,64,2939,join_queue
human_2,1,65,2939,arrival
human_2,1,65,2939,join_queue
human_2,1,66,2971,arrival
human_2,1,66,2971,join_queue
human_2,1,67,2973,arrival
human_2,1,67,2973,join_queue
human_2,1,68,2990,arrival
human_2,1,68,2990,join_queue
human_2,1,63,3002,end_service
human_2,1,64,3002,begin_service
human_2,1,69,3020,arrival
human_2,1,69,3020,join_queue
human_2,1,62,3041,end_service
human_2,1,65,3041,begin_service
human_2,1,70,3055,arrival
human_2,1,70,3055,join_queue
human_2,1,64,3092,end_service
human_2,1,66,3092,begin_service
human_2,1,71,3097,arrival
human_2,1,71,3097,join_queue
human_2,1,65,3130,end_service
human_2,1,67,3130,begin_service
human_2,1,72,3135,arrival
human_2,1,72,3135,join_queue
human_2,1,73,3155,arrival
human_2,1,73,3155,join_queue
human_2,1,66,3160,end_service
human_2,1,68,3160,begin_service
human_2,1,67,3203,end_service
human_2,1,69,3203,begin_service
human_2,1,68,3228,end_service
human_2,1,70,3228,begin_service
human_2,1,74,3247,arrival
human_2,1,74,3247,join_queue
human_2,1,69,3280,end_service
human_2,1,71,3280,begin_service
human_2,1,75,3316,arrival
human_2,1,75,3316,join_queue
human_2,1,71,3340,end_service
human_2,1,72,3340,begin_service
human_2,1,76,3341,arrival
human_2,1,76,3341,join_queue
human_2,1,70,3383,end_service
human_2,1,73,3383,begin_service
human_2,1,72,3400,end_service
human_2,1,74,3400,begin_service
human_2,1,73,3443,end_service
human_2,1,75,3443,begin_service
human_2,1,74,3477,end_service
human_2,1,76,3477,begin_service
human_2,1,77,3487,arrival
human_2,1,77,3487,join_queue
human_2,1,75,3503,end_service
human_2,1,77,3503,begin_service
human_2,1,78,3533,arrival
human_2,1,78,3533,join_queue
human_2,1,76,3543,end_service
human_2,1,78,3543,begin_service
human_2,1,77,3563,end_service
human_2,1,79,3583,arrival
human_2,1,79,3583,join_queue
human_2,1,79,3583,begin_service
human_2,1,78,3603,end_service
human_2,1,80,3630,arrival
human_2,1,80,3630,join_queue
human_2,1,80,3630,begin_service
human_2,1,81,3645,arrival
human_2,1,81,3645,join_queue
human_2,1,80,3690,end_service
human_2,1,81,3690,begin_service
human_2,1,81,3750,end_service
human_2,1,79,3763,end_service
human_2,1,82,3903,arrival
human_2,1,82,3903,join_queue
human_2,1,82,3903,begin_service
human_2,1,83,3959,arrival
human_2,1,83,3959,join_queue
human_2,1,83,3959,begin_service
human_2,1,82,3975,end_service
human_2,1,83,4019,end_service
human_2,1,84,4048,arrival
human_2,1,84,4048,join_queue
human_2,1,84,4048,begin_service
human_2,1,85,4108,arrival
human_2,1,84,4108,end_service
human_2,1,85,4108,join_queue
human_2,1,85,4108,begin_service
human_2,1,86,4130,arrival
human_2,1,86,4130,join_queue
human_2,1,86,4130,begin_service
human_2,1,87,4162,arrival
human_2,1,87,4162,join_queue
human_2,1,86,4190,end_service
human_2,1,87,4190,begin_service
human_2,1,87,4250,end_service
human_2,1,85,4262,end_service
human_2,1,88,4323,arrival
human_2,1,88,4323,join_queue
human_2,1,88,4323,begin_service
human_2,1,89,4350,arrival
human_2,1,89,4350,join_queue
human_2,1,89,4350,begin_service
human_2,1,90,4351,arrival
human_2,1,90,4351,join_queue
human_2,1,91,4368,arrival
human_2,1,91,4368,join_queue
human_2,1,88,4383,end_service
human_2,1,90,4383,begin_service
human_2,1,92,4398,arrival
human_2,1,92,4398,join_queue
human_2,1,93,4409,arrival
human_2,1,93,4409,join_queue
human_2,1,89,4410,end_service
human_2,1,91,4410,begin_service
human_2,1,91,4470,end_service
human_2,1,92,4470,begin_service
human_2,1,90,4506,end_service
human_2,1,93,4506,begin_service
human_2,1,94,4540,arrival
human_2,1,94,4540,join_queue
human_2,1,95,4544,arrival
human_2,1,95,4544,join_queue
human_2,1,93,4566,end_service
human_2,1,94,4566,begin_service
human_2,1,96,4570,arrival
human_2,1,96,4570,join_queue
human_2,1,92,4594,end_service
human_2,1,95,4594,begin_service
human_2,1,94,4626,end_service
human_2,1,96,4626,begin_service
human_2,1,96,4731,end_service
human_2,1,95,4737,end_service
human_2,1,97,4739,arrival
human_2,1,97,4739,join_queue
human_2,1,97,4739,begin_service
human_2,1,98,4751,arrival
human_2,1,98,4751,join_queue
human_2,1,98,4751,begin_service
human_2,1,98,4811,end_service
human_2,1,99,4858,arrival
human_2,1,99,4858,join_queue
human_2,1,99,4858,begin_service
human_2,1,100,4859,arrival
human_2,1,100,4859,join_queue
human_2,1,97,4866,end_service
human_2,1,100,4866,begin_service
human_2,1,100,4926,end_service
human_2,1,101,4976,arrival
human_2,1,101,4976,join_queue
human_2,1,101,4976,begin_service
human_2,1,99,4986,end_service
human_2,1,101,5036,end_service
human_2,1,102,5182,arrival
human_2,1,102,5182,join_queue
human_2,1,102,5182,begin_service
human_2,1,103,5227,arrival
human_2,1,103,5227,join_queue
human_2,1,103,5227,begin_service
human_2,1,102,5242,end_service
human_2,1,104,5282,arrival
human_2,1,104,5282,join_queue
human_2,1,104,5282,begin_service
human_2,1,103,5287,end_service
human_2,1,105,5311,arrival
human_2,1,105,5311,join_queue
human_2,1,105,5311,begin_service
human_2,1,106,5339,arrival
human_2,1,106,5339,join_queue
human_2,1,107,5356,arrival
human_2,1,107,5356,join_queue
human_2,1,108,5359,arrival
human_2,1,108,5359,join_queue
human_2,1,109,5371,arrival
human_2,1,109,5371,join_queue
human_2,1,104,5380,end_service
human_2,1,106,5380,begin_service
human_2,1,106,5440,end_service
human_2,1,107,5440,begin_service
human_2,1,110,5489,arrival
human_2,1,110,5489,join_queue
human_2,1,105,5491,end_service
human_2,1,108,5491,begin_service
human_2,1,111,5548,arrival
human_2,1,111,5548,join_queue
human_2,1,112,5604,arrival
human_2,1,112,5604,join_queue
human_2,1,107,5620,end_service
human_2,1,109,5620,begin_service
human_2,1,113,5626,arrival
human_2,1,113,5626,join_queue
human_2,1,108,5652,end_service
human_2,1,110,5652,begin_service
human_2,1,109,5721,end_service
human_2,1,111,5721,begin_service
human_2,1,114,5740,arrival
human_2,1,114,5740,join_queue
human_2,1,115,5747,arrival
human_2,1,115,5747,join_queue
human_2,1,116,5779,arrival
human_2,1,116,5779,join_queue
human_2,1,117,5788,arrival
human_2,1,117,5788,join_queue
human_2,1,110,5792,end_service
human_2,1,112,5792,begin_service
human_2,1,112,5852,end_service
human_2,1,113,5852,begin_service
human_2,1,111,5901,end_service
human_2,1,114,5901,begin_service
human_2,1,118,5923,arrival
human_2,1,118,5923,join_queue
human_2,1,114,5961,end_service
human_2,1,115,5961,begin_service
human_2,1,119,5993,arrival
human_2,1,119,5993,join_queue
human_2,1,115,6021,end_service
human_2,1,116,6021,begin_service
human_2,1,113,6032,end_service
human_2,1,117,6032,begin_service
human_2,1,120,6060,arrival
human_2,1,120,6060,join_queue
human_2,1,116,6081,end_service
human_2,1,118,6081,begin_service
human_2,1,117,6092,end_service
human_2,1,119,6092,begin_service
human_2,1,121,6131,arrival
human_2,1,121,6131,join_queue
human_2,1,119,6152,end_service
human_2,1,120,6152,begin_service
human_2,1,122,6154,arrival
human_2,1,122,6154,join_queue
human_2,1,118,6202,end_service
human_2,1,121,6202,begin_service
human_2,1,120,6232,end_service
human_2,1,122,6232,begin_service
human_2,1,123,6239,arrival
human_2,1,123,6239,join_queue
human_2,1,124,6253,arrival
human_2,1,124,6253,join_queue
human_2,1,121,6262,end_service
human_2,1,123,6262,begin_service
human_2,1,122,6292,end_service
human_2,1,124,6292,begin_service
human_2,1,125,6306,arrival
human_2,1,125,6306,join_queue
human_2,1,123,6346,end_service
human_2,1,125,6346,begin_service
human_2,1,124,6352,end_service
human_2,1,126,6363,arrival
human_2,1,126,6363,join_queue
human_2,1,126,6363,begin_service
human_2,1,125,6406,end_service
human_2,1,127,6415,arrival
human_2,1,127,6415,join_queue
human_2,1,127,6415,begin_service
human_2,1,126,6423,end_service
human_2,1,128,6454,arrival
human_2,1,128,6454,join_queue
human_2,1,128,6454,begin_service
human_2,1,129,6461,arrival
human_2,1,129,6461,join_queue
human_2,1,130,6464,arrival
human_2,1,130,6464,join_queue
human_2,1,127,6475,end_service
human_2,1,129,6475,begin_service
human_2,1,131,6486,arrival
human_2,1,131,6486,join_queue
human_2,1,128,6517,end_service
human_2,1,130,6517,begin_service
human_2,1,132,6534,arrival
human_2,1,132,6534,join_queue
human_2,1,133,6584,arrival
human_2,1,133,6584,join_queue
human_2,1,130,6587,end_service
human_2,1,131,6587,begin_service
human_2,1,134,6590,arrival
human_2,1,134,6590,join_queue
human_2,1,129,6607,end_service
human_2,1,132,6607,begin_service
human_2,1,135,6644,arrival
human_2,1,135,6644,join_queue
human_2,1,132,6667,end_service
human_2,1,133,6667,begin_service
human_2,1,131,6675,end_service
human_2,1,134,6675,begin_service
human_2,1,134,6735,end_service
human_2,1,135,6735,begin_service
human_2,1,136,6751,arrival
human_2,1,136,6751,join_queue
human_2,1,133,6778,end_service
human_2,1,136,6778,begin_service
human_2,1,136,6838,end_service
human_2,1,137,6869,arrival
human_2,1,137,6869,join_queue
human_2,1,137,6869,begin_service
human_2,1,138,6872,arrival
human_2,1,138,6872,join_queue
human_2,1,135,6915,end_service
human_2,1,138,6915,begin_service
human_2,1,137,6929,end_service
human_2,1,139,6961,arrival
human_2,1,139,6961,join_queue
human_2,1,139,6961,begin_service
human_2,1,138,6975,end_service
human_2,1,139,7021,end_service
human_2,1,140,7090,arrival
human_2,1,140,7090,join_queue
human_2,1,140,7090,begin_service
human_2,1,141,7183,arrival
human_2,1,141,7183,join_queue
human_2,1,141,7183,begin_service
human_2,1,142,7194,arrival
human_2,1,142,7194,join_queue
human_2,1,140,7229,end_service
human_2,1,142,7229,begin_service
human_2,1,141,7253,end_service
human_2,1,142,7289,end_service
human_2,1,143,7326,arrival
human_2,1,143,7326,join_queue
human_2,1,143,7326,begin_service
human_2,1,143,7386,end_service
human_2,1,144,7450,arrival
human_2,1,144,7450,join_queue
human_2,1,144,7450,begin_service
human_2,1,145,7454,arrival
human_2,1,145,7454,join_queue
human_2,1,145,7454,begin_service
human_2,1,146,7496,arrival
human_2,1,146,7496,join_queue
human_2,1,144,7510,end_service
human_2,1,146,7510,begin_service
human_2,1,145,7514,end_service
human_2,1,147,7605,arrival
human_2,1,147,7605,join_queue
human_2,1,147,7605,begin_service
human_2,1,147,7665,end_service
human_2,1,146,7670,end_service
human_2,1,148,7736,arrival
human_2,1,148,7736,join_queue
human_2,1,148,7736,begin_service
human_2,1,149,7806,arrival
human_2,1,149,7806,join_queue
human_2,1,149,7806,begin_service
human_2,1,150,7807,arrival
human_2,1,150,7807,join_queue
human_2,1,148,7841,end_service
human_2,1,150,7841,begin_service
human_2,1,149,7892,end_service
human_2,1,150,7901,end_service
human_2,1,151,7910,arrival
human_2,1,151,7910,join_queue
human_2,1,152,7910,arrival
human_2,1,151,7910,begin_service
human_2,1,152,7910,join_queue
human_2,1,152,7910,begin_service
human_2,1,153,7929,arrival
human_2,1,153,7929,join_queue
human_2,1,154,7936,arrival
human_2,1,154,7936,join_queue
human_2,1,155,7965,arrival
human_2,1,155,7965,join_queue
human_2,1,156,7982,arrival
human_2,1,156,7982,join_queue
human_2,1,152,7998,end_service
human_2,1,153,7998,begin_service
human_2,1,153,8058,end_service
human_2,1,154,8058,begin_service
human_2,1,151,8090,end_service
human_2,1,155,8090,begin_service
human_2,1,157,8094,arrival
human_2,1,157,8094,join_queue
human_2,1,154,8118,end_service
human_2,1,156,8118,begin_service
human_2,1,158,8123,arrival
human_2,1,158,8123,join_queue
human_2,1,155,8150,end_service
human_2,1,157,8150,begin_service
human_2,1,156,8178,end_service
human_2,1,158,8178,begin_service
human_2,1,159,8250,arrival
human_2,1,159,8250,join_queue
human_2,1,157,8253,end_service
human_2,1,159,8253,begin_service
human_2,1,158,8265,end_service
human_2,1,160,8283,arrival
human_2,1,160,8283,join_queue
human_2,1,160,8283,begin_service
human_2,1,159,8313,end_service
human_2,1,161,8337,arrival
human_2,1,161,8337,join_queue
human_2,1,161,8337,begin_service
human_2,1,162,8395,arrival
human_2,1,162,8395,join_queue
human_2,1,160,8396,end_service
human_2,1,162,8396,begin_service
human_2,1,163,8454,arrival
human_2,1,163,8454,join_queue
human_2,1,162,8456,end_service
human_2,1,163,8456,begin_service
