barista_count_setting,interarrival_setting,caseid,time,activity
human_1,6,1,624,arrival
human_1,6,1,624,join_queue
human_1,6,1,624,begin_service
human_1,6,1,684,end_service
human_1,6,2,713,arrival
human_1,6,2,713,join_queue
human_1,6,2,713,begin_service
human_1,6,2,773,end_service
human_1,6,3,997,arrival
human_1,6,3,997,join_queue
human_1,6,3,997,begin_service
human_1,6,3,1057,end_service
human_1,6,4,1072,arrival
human_1,6,4,1072,join_queue
human_1,6,4,1072,begin_service
human_1,6,4,1133,end_service
human_1,6,5,1407,arrival
human_1,6,5,1407,join_queue
human_1,6,5,1407,begin_service
human_1,6,5,1587,end_service
human_1,6,6,1779,arrival
human_1,6,6,1779,join_queue
human_1,6,6,1779,begin_service
human_1,6,6,1839,end_service
human_1,6,7,2310,arrival
human_1,6,7,2310,join_queue
human_1,6,7,2310,begin_service
human_1,6,7,2370,end_service
human_1,6,8,2503,arrival
human_1,6,8,2503,join_queue
human_1,6,8,2503,begin_service
human_1,6,8,2563,end_service
human_1,6,9,2667,arrival
human_1,6,9,2667,join_queue
human_1,6,9,2667,begin_service
human_1,6,9,2727,end_service
human_1,6,10,2980,arrival
human_1,6,10,2980,join_queue
human_1,6,10,2980,begin_service
human_1,6,11,3122,arrival
human_1,6,11,3122,join_queue
human_1,6,10,3152,end_service
human_1,6,11,3152,begin_service
human_1,6,12,3187,arrival
human_1,6,12,3187,join_queue
human_1,6,11,3212,end_service
human_1,6,12,3212,begin_service
human_1,6,12,3295,end_service
human_1,6,13,3475,arrival
human_1,6,13,3475,join_queue
human_1,6,13,3475,begin_service
human_1,6,13,3535,end_service
human_1,6,14,3681,arrival
human_1,6,14,3681,join_queue
human_1,6,14,3681,begin_service
human_1,6,14,3750,end_service
human_1,6,15,4405,arrival
human_1,6,15,4405,join_queue
human_1,6,15,4405,begin_service
human_1,6,15,4465,end_service
human_1,6,16,4644,arrival
human_1,6,16,4644,join_queue
human_1,6,16,4644,begin_service
human_1,6,16,4746,end_service
human_1,6,17,4958,arrival
human_1,6,17,4958,join_queue
human_1,6,17,4958,begin_service
human_1,6,17,5138,end_service
human_1,6,18,5241,arrival
human_1,6,18,5241,join_queue
human_1,6,18,5241,begin_service
human_1,6,18,5353,end_service
human_1,6,19,5790,arrival
human_1,6,19,5790,join_queue
human_1,6,19,5790,begin_service
human_1,6,20,5825,arrival
human_1,6,20,5825,join_queue
human_1,6,21,5916,arrival
human_1,6,21,5916,join_queue
human_1,6,22,5941,arrival
human_1,6,22,5941,join_queue
human_1,6,23,5965,arrival
human_1,6,23,5965,join_queue
human_1,6,19,5970,end_service
human_1,6,20,5970,begin_service
human_1,6,20,6030,end_service
human_1,6,21,6030,begin_service
human_1,6,21,6121,end_service
human_1,6,22,6121,begin_service
human_1,6,24,6204,arrival
human_1,6,24,6204,join_queue
human_1,6,22,6216,end_service
human_1,6,23,6216,begin_service
human_1,6,23,6276,end_service
human_1,6,24,6276,begin_service
human_1,6,24,6336,end_service
human_1,6,25,6729,arrival
human_1,6,25,6729,join_queue
human_1,6,25,6729,begin_service
human_1,6,25,6789,end_service
human_1,6,26,7575,arrival
human_1,6,26,7575,join_queue
human_1,6,26,7575,begin_service
human_1,6,26,7636,end_service
human_1,6,27,7888,arrival
human_1,6,27,7888,join_queue
human_1,6,27,7888,begin_service
human_1,6,27,7951,end_service
human_1,6,28,8515,arrival
human_1,6,28,8515,join_queue
human_1,6,28,8515,begin_service
human_1,6,28,8575,end_service
human_1,6,29,8915,arrival
human_1,6,29,8915,join_queue
human_1,6,29,8915,begin_service
human_1,6,30,8934,arrival
human_1,6,30,8934,join_queue
human_1,6,29,9053,end_service
human_1,6,30,9053,begin_service
human_1,6,30,9113,end_service
human_1,6,31,10295,arrival
human_1,6,31,10295,join_queue
human_1,6,31,10295,begin_service
human_1,6,32,10304,arrival
human_1,6,32,10304,join_queue
human_1,6,33,10318,arrival
human_1,6,33,10318,join_queue
human_1,6,31,10380,end_service
human_1,6,32,10380,begin_service
human_1,6,32,10560,end_service
human_1,6,33,10560,begin_service
human_1,6,33,10713,end_service
human_1,6,34,11079,arrival
human_1,6,34,11079,join_queue
human_1,6,34,11079,begin_service
human_1,6,34,11139,end_service
human_1,6,35,11374,arrival
human_1,6,35,11374,join_queue
human_1,6,35,11374,begin_service
human_1,6,35,11434,end_service
human_1,6,36,11734,arrival
human_1,6,36,11734,join_queue
human_1,6,36,11734,begin_service
human_1,6,36,11794,end_service
human_1,6,37,11834,arrival
human_1,6,37,11834,join_queue
human_1,6,37,11834,begin_service
human_1,6,38,11849,arrival
human_1,6,38,11849,join_queue
human_1,6,37,11907,end_service
human_1,6,38,11907,begin_service
human_1,6,38,11967,end_service
human_1,6,39,12134,arrival
human_1,6,39,12134,join_queue
human_1,6,39,12134,begin_service
human_1,6,39,12194,end_service
human_1,6,40,12251,arrival
human_1,6,40,12251,join_queue
human_1,6,40,12251,begin_service
human_1,6,40,12311,end_service
human_1,6,41,12406,arrival
human_1,6,41,12406,join_queue
human_1,6,41,12406,begin_service
human_1,6,41,12488,end_service
human_1,6,42,12635,arrival
human_1,6,42,12635,join_queue
human_1,6,42,12635,begin_service
human_1,6,42,12695,end_service
human_1,6,43,12794,arrival
human_1,6,43,12794,join_queue
human_1,6,43,12794,begin_service
human_1,6,43,12854,end_service
human_1,6,44,12955,arrival
human_1,6,44,12955,join_queue
human_1,6,44,12955,begin_service
human_1,6,44,13015,end_service
human_1,6,45,13826,arrival
human_1,6,45,13826,join_queue
human_1,6,45,13826,begin_service
human_1,6,45,13886,end_service
human_1,6,46,14049,arrival
human_1,6,46,14049,join_queue
human_1,6,46,14049,begin_service
human_1,6,46,14109,end_service
human_1,6,47,14131,arrival
human_1,6,47,14131,join_queue
human_1,6,47,14131,begin_service
human_1,6,47,14196,end_service
human_1,6,48,14351,arrival
human_1,6,48,14351,join_queue
human_1,6,48,14351,begin_service
human_1,6,48,14516,end_service
human_1,6,49,14967,arrival
human_1,6,49,14967,join_queue
human_1,6,49,14967,begin_service
human_1,6,49,15027,end_service
human_1,6,50,15446,arrival
human_1,6,50,15446,join_queue
human_1,6,50,15446,begin_service
human_1,6,50,15506,end_service
human_1,6,51,15584,arrival
human_1,6,51,15584,join_queue
human_1,6,51,15584,begin_service
human_1,6,52,15595,arrival
human_1,6,52,15595,join_queue
human_1,6,51,15644,end_service
human_1,6,52,15644,begin_service
human_1,6,53,15682,arrival
human_1,6,53,15682,join_queue
human_1,6,52,15704,end_service
human_1,6,53,15704,begin_service
human_1,6,53,15766,end_service
human_1,6,54,16235,arrival
human_1,6,54,16235,join_queue
human_1,6,54,16235,begin_service
human_1,6,55,16238,arrival
human_1,6,55,16238,join_queue
human_1,6,56,16270,arrival
human_1,6,56,16270,join_queue
human_1,6,54,16295,end_service
human_1,6,55,16295,begin_service
human_1,6,55,16404,end_service
human_1,6,56,16404,begin_service
human_1,6,56,16464,end_service
human_1,6,57,16553,arrival
human_1,6,57,16553,join_queue
human_1,6,57,16553,begin_service
human_1,6,57,16613,end_service
human_1,6,58,16821,arrival
human_1,6,58,16821,join_queue
human_1,6,58,16821,begin_service
human_1,6,58,17001,end_service
human_1,6,59,17706,arrival
human_1,6,59,17706,join_queue
human_1,6,59,17706,begin_service
human_1,6,59,17791,end_service
human_1,6,60,18030,arrival
human_1,6,60,18030,join_queue
human_1,6,60,18030,begin_service
human_1,6,60,18121,end_service
human_1,6,61,18191,arrival
human_1,6,61,18191,join_queue
human_1,6,61,18191,begin_service
human_1,6,62,18200,arrival
human_1,6,62,18200,join_queue
human_1,6,61,18251,end_service
human_1,6,63,18251,arrival
human_1,6,63,18251,join_queue
human_1,6,62,18251,begin_service
human_1,6,62,18362,end_service
human_1,6,63,18362,begin_service
human_1,6,63,18499,end_service
human_1,6,64,19010,arrival
human_1,6,64,19010,join_queue
human_1,6,64,19010,begin_service
human_1,6,65,19012,arrival
human_1,6,65,19012,join_queue
human_1,6,66,19022,arrival
human_1,6,66,19022,join_queue
human_1,6,64,19070,end_service
human_1,6,65,19070,begin_service
human_1,6,67,19121,arrival
human_1,6,67,19121,join_queue
human_1,6,65,19130,end_service
human_1,6,66,19130,begin_service
human_1,6,66,19190,end_service
human_1,6,67,19190,begin_service
human_1,6,67,19279,end_service
human_1,6,68,19481,arrival
human_1,6,68,19481,join_queue
human_1,6,68,19481,begin_service
human_1,6,68,19549,end_service
human_1,6,69,19734,arrival
human_1,6,69,19734,join_queue
human_1,6,69,19734,begin_service
human_1,6,69,19807,end_service
human_1,6,70,19961,arrival
human_1,6,70,19961,join_queue
human_1,6,70,19961,begin_service
human_1,6,71,20084,arrival
human_1,6,71,20084,join_queue
human_1,6,70,20099,end_service
human_1,6,71,20099,begin_service
human_1,6,71,20176,end_service
human_1,6,72,20356,arrival
human_1,6,72,20356,join_queue
human_1,6,72,20356,begin_service
human_1,6,72,20459,end_service
human_1,6,73,20976,arrival
human_1,6,73,20976,join_queue
human_1,6,73,20976,begin_service
human_1,6,73,21036,end_service
human_1,6,74,21201,arrival
human_1,6,74,21201,join_queue
human_1,6,74,21201,begin_service
human_1,6,75,21378,arrival
human_1,6,75,21378,join_queue
human_1,6,74,21381,end_service
human_1,6,75,21381,begin_service
human_1,6,76,21437,arrival
human_1,6,76,21437,join_queue
human_1,6,75,21458,end_service
human_1,6,76,21458,begin_service
human_1,6,77,21500,arrival
human_1,6,77,21500,join_queue
human_1,6,76,21524,end_service
human_1,6,77,21524,begin_service
human_1,6,77,21584,end_service
human_1,6,78,21775,arrival
human_1,6,78,21775,join_queue
human_1,6,78,21775,begin_service
human_1,6,78,21835,end_service
human_1,6,79,22073,arrival
human_1,6,79,22073,join_queue
human_1,6,79,22073,begin_service
human_1,6,79,22253,end_service
human_1,6,80,22358,arrival
human_1,6,80,22358,join_queue
human_1,6,80,22358,begin_service
human_1,6,80,22418,end_service
human_1,6,81,22446,arrival
human_1,6,81,22446,join_queue
human_1,6,81,22446,begin_service
human_1,6,81,22506,end_service
human_1,6,82,23996,arrival
human_1,6,82,23996,join_queue
human_1,6,82,23996,begin_service
human_1,6,82,24068,end_service
human_1,6,83,24334,arrival
human_1,6,83,24334,join_queue
human_1,6,83,24334,begin_service
human_1,6,83,24394,end_service
human_1,6,84,24865,arrival
human_1,6,84,24865,join_queue
human_1,6,84,24865,begin_service
human_1,6,84,24925,end_service
human_1,6,85,25225,arrival
human_1,6,85,25225,join_queue
human_1,6,85,25225,begin_service
human_1,6,86,25354,arrival
human_1,6,86,25354,join_queue
human_1,6,85,25379,end_service
human_1,6,86,25379,begin_service
human_1,6,86,25439,end_service
human_1,6,87,25544,arrival
human_1,6,87,25544,join_queue
human_1,6,87,25544,begin_service
human_1,6,87,25604,end_service
human_1,6,88,26511,arrival
human_1,6,88,26511,join_queue
human_1,6,88,26511,begin_service
human_1,6,88,26571,end_service
human_1,6,89,26673,arrival
human_1,6,89,26673,join_queue
human_1,6,89,26673,begin_service
human_1,6,90,26680,arrival
human_1,6,90,26680,join_queue
human_1,6,89,26733,end_service
human_1,6,90,26733,begin_service
human_1,6,91,26782,arrival
human_1,6,91,26782,join_queue
human_1,6,90,26793,end_service
human_1,6,91,26793,begin_service
human_1,6,91,26853,end_service
human_1,6,92,27273,arrival
human_1,6,92,27273,join_queue
human_1,6,92,27273,begin_service
human_1,6,92,27333,end_service
human_1,6,93,28058,arrival
human_1,6,93,28058,join_queue
human_1,6,93,28058,begin_service
human_1,6,93,28118,end_service
human_1,6,94,28552,arrival
human_1,6,94,28552,join_queue
human_1,6,94,28552,begin_service
human_1,6,95,28573,arrival
human_1,6,95,28573,join_queue
human_1,6,94,28612,end_service
human_1,6,95,28612,begin_service
human_1,6,96,28791,arrival
human_1,6,96,28791,join_queue
human_1,6,95,28792,end_service
human_1,6,96,28792,begin_service
human_1,6,96,28897,end_service
human_1,6,97,29364,arrival
human_1,6,97,29364,join_queue
human_1,6,97,29364,begin_service
human_1,6,98,29438,arrival
human_1,6,98,29438,join_queue
human_1,6,97,29491,end_service
human_1,6,98,29491,begin_service
human_1,6,98,29551,end_service
human_1,6,99,30082,arrival
human_1,6,99,30082,join_queue
human_1,6,99,30082,begin_service
human_1,6,100,30086,arrival
human_1,6,100,30086,join_queue
human_1,6,99,30210,end_service
human_1,6,100,30210,begin_service
human_1,6,100,30270,end_service
human_1,6,101,30788,arrival
human_1,6,101,30788,join_queue
human_1,6,101,30788,begin_service
human_1,6,101,30848,end_service
human_1,6,102,32026,arrival
human_1,6,102,32026,join_queue
human_1,6,102,32026,begin_service
human_1,6,102,32086,end_service
human_1,6,103,32299,arrival
human_1,6,103,32299,join_queue
human_1,6,103,32299,begin_service
human_1,6,103,32359,end_service
human_1,6,104,32631,arrival
human_1,6,104,32631,join_queue
human_1,6,104,32631,begin_service
human_1,6,104,32729,end_service
human_1,6,105,32805,arrival
human_1,6,105,32805,join_queue
human_1,6,105,32805,begin_service
human_1,6,106,32971,arrival
human_1,6,106,32971,join_queue
human_1,6,105,32985,end_service
human_1,6,106,32985,begin_service
human_1,6,106,33045,end_service
human_1,6,107,33076,arrival
human_1,6,107,33076,join_queue
human_1,6,107,33076,begin_service
human_1,6,108,33149,arrival
human_1,6,108,33149,join_queue
human_1,6,107,33253,end_service
human_1,6,108,33253,begin_service
human_1,6,109,33259,arrival
human_1,6,109,33259,join_queue
human_1,6,108,33433,end_service
human_1,6,109,33433,begin_service
human_1,6,109,33594,end_service
human_1,6,110,33612,arrival
human_1,6,110,33612,join_queue
human_1,6,110,33612,begin_service
human_1,6,110,33672,end_service
human_1,6,111,33951,arrival
human_1,6,111,33951,join_queue
human_1,6,111,33951,begin_service
human_1,6,111,34123,end_service
human_1,6,112,34353,arrival
human_1,6,112,34353,join_queue
human_1,6,112,34353,begin_service
human_1,6,112,34533,end_service
human_1,6,113,34912,arrival
human_1,6,113,34912,join_queue
human_1,6,113,34912,begin_service
human_1,6,114,34955,arrival
human_1,6,114,34955,join_queue
human_1,6,113,34972,end_service
human_1,6,114,34972,begin_service
human_1,6,115,35012,arrival
human_1,6,115,35012,join_queue
human_1,6,116,35142,arrival
human_1,6,116,35142,join_queue
human_1,6,114,35152,end_service
human_1,6,115,35152,begin_service
human_1,6,115,35212,end_service
human_1,6,116,35212,begin_service
human_1,6,116,35317,end_service
