barista_count_setting,interarrival_setting,caseid,time,activity
human_3,5,1,520,arrival
human_3,5,1,520,join_queue
human_3,5,1,520,begin_service
human_3,5,1,580,end_service
human_3,5,2,594,arrival
human_3,5,2,594,join_queue
human_3,5,2,594,begin_service
human_3,5,2,654,end_service
human_3,5,3,831,arrival
human_3,5,3,831,join_queue
human_3,5,3,831,begin_service
human_3,5,4,893,arrival
human_3,5,4,893,join_queue
human_3,5,4,893,begin_service
human_3,5,3,897,end_service
human_3,5,4,974,end_service
human_3,5,5,1172,arrival
human_3,5,5,1172,join_queue
human_3,5,5,1172,begin_service
human_3,5,5,1465,end_service
human_3,5,6,1482,arrival
human_3,5,6,1482,join_queue
human_3,5,6,1482,begin_service
human_3,5,6,1542,end_service
human_3,5,7,1924,arrival
human_3,5,7,1924,join_queue
human_3,5,7,1924,begin_service
human_3,5,7,1984,end_service
human_3,5,8,2085,arrival
human_3,5,8,2085,join_queue
human_3,5,8,2085,begin_service
human_3,5,8,2145,end_service
human_3,5,9,2222,arrival
human_3,5,9,2222,join_queue
human_3,5,9,2222,begin_service
human_3,5,9,2282,end_service
human_3,5,10,2483,arrival
human_3,5,10,2483,join_queue
human_3,5,10,2483,begin_service
human_3,5,11,2601,arrival
human_3,5,11,2601,join_queue
human_3,5,11,2601,begin_service
human_3,5,12,2655,arrival
human_3,5,12,2655,join_queue
human_3,5,12,2655,begin_service
human_3,5,11,2680,end_service
human_3,5,10,2713,end_service
human_3,5,12,2766,end_service
human_3,5,13,2895,arrival
human_3,5,13,2895,join_queue
human_3,5,13,2895,begin_service
human_3,5,13,2972,end_service
human_3,5,14,3067,arrival
human_3,5,14,3067,join_queue
human_3,5,14,3067,begin_service
human_3,5,14,3160,end_service
human_3,5,15,3670,arrival
human_3,5,15,3670,join_queue
human_3,5,15,3670,begin_service
human_3,5,15,3730,end_service
human_3,5,16,3869,arrival
human_3,5,16,3869,join_queue
human_3,5,16,3869,begin_service
human_3,5,16,4005,end_service
human_3,5,17,4131,arrival
human_3,5,17,4131,join_queue
human_3,5,17,4131,begin_service
