barista_count_setting,interarrival_setting,caseid,time,activity
human_3,8,1,832,arrival
human_3,8,1,832,join_queue
human_3,8,1,832,begin_service
human_3,8,1,892,end_service
human_3,8,2,950,arrival
human_3,8,2,950,join_queue
human_3,8,2,950,begin_service
human_3,8,2,1010,end_service
human_3,8,3,1329,arrival
human_3,8,3,1329,join_queue
human_3,8,3,1329,begin_service
human_3,8,3,1395,end_service
human_3,8,4,1428,arrival
human_3,8,4,1428,join_queue
human_3,8,4,1428,begin_service
human_3,8,4,1509,end_service
human_3,8,5,1875,arrival
human_3,8,5,1875,join_queue
human_3,8,5,1875,begin_service
human_3,8,5,2168,end_service
human_3,8,6,2371,arrival
human_3,8,6,2371,join_queue
human_3,8,6,2371,begin_service
human_3,8,6,2431,end_service
human_3,8,7,3079,arrival
human_3,8,7,3079,join_queue
human_3,8,7,3079,begin_service
human_3,8,7,3139,end_service
human_3,8,8,3337,arrival
human_3,8,8,3337,join_queue
human_3,8,8,3337,begin_service
human_3,8,8,3397,end_service
human_3,8,9,3556,arrival
human_3,8,9,3556,join_queue
human_3,8,9,3556,begin_service
human_3,8,9,3616,end_service
human_3,8,10,3973,arrival
human_3,8,10,3973,join_queue
human_3,8,10,3973,begin_service
human_3,8,11,4162,arrival
human_3,8,11,4162,join_queue
human_3,8,11,4162,begin_service
human_3,8,10,4203,end_service
human_3,8,11,4241,end_service
human_3,8,12,4249,arrival
human_3,8,12,4249,join_queue
human_3,8,12,4249,begin_service
human_3,8,12,4360,end_service
human_3,8,13,4633,arrival
human_3,8,13,4633,join_queue
human_3,8,13,4633,begin_service
human_3,8,13,4710,end_service
human_3,8,14,4908,arrival
human_3,8,14,4908,join_queue
human_3,8,14,4908,begin_service
human_3,8,14,5001,end_service
human_3,8,15,5873,arrival
human_3,8,15,5873,join_queue
human_3,8,15,5873,begin_service
human_3,8,15,5933,end_service
human_3,8,16,6191,arrival
human_3,8,16,6191,join_queue
human_3,8,16,6191,begin_service
human_3,8,16,6327,end_service
human_3,8,17,6610,arrival
human_3,8,17,6610,join_queue
human_3,8,17,6610,begin_service
human_3,8,17,6903,end_service
human_3,8,18,6988,arrival
human_3,8,18,6988,join_queue
human_3,8,18,6988,begin_service
human_3,8,18,7137,end_service
human_3,8,19,7720,arrival
human_3,8,19,7720,join_queue
human_3,8,19,7720,begin_service
human_3,8,20,7766,arrival
human_3,8,20,7766,join_queue
human_3,8,20,7766,begin_service
human_3,8,20,7826,end_service
human_3,8,21,7887,arrival
human_3,8,21,7887,join_queue
human_3,8,21,7887,begin_service
human_3,8,22,7919,arrival
human_3,8,22,7919,join_queue
human_3,8,22,7919,begin_service
human_3,8,23,7926,arrival
human_3,8,23,7926,join_queue
human_3,8,21,7967,end_service
human_3,8,23,7967,begin_service
human_3,8,19,8020,end_service
human_3,8,22,8040,end_service
human_3,8,23,8142,end_service
human_3,8,24,8435,arrival
human_3,8,24,8435,join_queue
human_3,8,24,8435,begin_service
human_3,8,24,8495,end_service
human_3,8,25,8573,arrival
human_3,8,25,8573,join_queue
human_3,8,25,8573,begin_service
human_3,8,25,8633,end_service
human_3,8,26,9700,arrival
human_3,8,26,9700,join_queue
human_3,8,26,9700,begin_service
human_3,8,26,9782,end_service
human_3,8,27,10117,arrival
human_3,8,27,10117,join_queue
human_3,8,27,10117,begin_service
human_3,8,27,10201,end_service
human_3,8,28,10953,arrival
human_3,8,28,10953,join_queue
