barista_count_setting,interarrival_setting,caseid,time,activity
human_1,1,1,104,arrival
human_1,1,1,104,join_queue
human_1,1,1,104,begin_service
human_1,1,2,119,arrival
human_1,1,2,119,join_queue
human_1,1,1,164,end_service
human_1,1,2,164,begin_service
human_1,1,3,166,arrival
human_1,1,3,166,join_queue
human_1,1,4,178,arrival
human_1,1,4,178,join_queue
human_1,1,5,211,arrival
human_1,1,5,211,join_queue
human_1,1,2,224,end_service
human_1,1,3,224,begin_service
human_1,1,6,267,arrival
human_1,1,6,267,join_queue
human_1,1,3,285,end_service
human_1,1,4,285,begin_service
human_1,1,7,329,arrival
human_1,1,7,329,join_queue
human_1,1,8,417,arrival
human_1,1,8,417,join_queue
human_1,1,9,437,arrival
human_1,1,9,437,join_queue
human_1,1,4,465,end_service
human_1,1,5,465,begin_service
human_1,1,10,469,arrival
human_1,1,10,469,join_queue
human_1,1,11,496,arrival
human_1,1,11,496,join_queue
human_1,1,12,518,arrival
human_1,1,12,518,join_queue
human_1,1,5,525,end_service
human_1,1,6,525,begin_service
human_1,1,13,570,arrival
human_1,1,13,570,join_queue
human_1,1,6,585,end_service
human_1,1,7,585,begin_service
human_1,1,14,594,arrival
human_1,1,14,594,join_queue
human_1,1,15,605,arrival
human_1,1,15,605,join_queue
human_1,1,16,645,arrival
human_1,1,16,645,join_queue
human_1,1,17,693,arrival
human_1,1,17,693,join_queue
human_1,1,18,748,arrival
human_1,1,18,748,balk
human_1,1,7,757,end_service
human_1,1,8,757,begin_service
human_1,1,19,782,arrival
human_1,1,19,782,join_queue
human_1,1,8,817,end_service
human_1,1,9,817,begin_service
human_1,1,9,886,end_service
human_1,1,10,886,begin_service
human_1,1,20,903,arrival
human_1,1,20,903,join_queue
human_1,1,21,927,arrival
human_1,1,21,927,join_queue
human_1,1,10,946,end_service
human_1,1,11,946,begin_service
human_1,1,22,979,arrival
human_1,1,22,979,join_queue
human_1,1,23,1026,arrival
human_1,1,23,1026,balk
human_1,1,11,1048,end_service
human_1,1,12,1048,begin_service
human_1,1,24,1172,arrival
human_1,1,24,1172,join_queue
human_1,1,12,1185,end_service
human_1,1,13,1185,begin_service
human_1,1,13,1245,end_service
human_1,1,14,1245,begin_service
human_1,1,25,1246,arrival
human_1,1,25,1246,join_queue
human_1,1,26,1261,arrival
human_1,1,26,1261,join_queue
human_1,1,27,1265,arrival
human_1,1,27,1265,balk
human_1,1,28,1269,arrival
human_1,1,28,1269,balk
human_1,1,29,1309,arrival
human_1,1,29,1309,balk
human_1,1,30,1310,arrival
human_1,1,30,1310,balk
human_1,1,31,1371,arrival
human_1,1,31,1371,balk
human_1,1,14,1425,end_service
human_1,1,15,1425,begin_service
human_1,1,32,1435,arrival
human_1,1,32,1435,join_queue
human_1,1,33,1452,arrival
human_1,1,33,1452,balk
human_1,1,34,1462,arrival
human_1,1,34,1462,balk
human_1,1,15,1556,end_service
human_1,1,16,1556,begin_service
human_1,1,35,1603,arrival
human_1,1,35,1603,join_queue
human_1,1,16,1616,end_service
human_1,1,17,1616,begin_service
human_1,1,36,1655,arrival
human_1,1,36,1655,join_queue
human_1,1,17,1677,end_service
human_1,1,19,1677,begin_service
human_1,1,19,1740,end_service
human_1,1,20,1740,begin_service
human_1,1,37,1759,arrival
human_1,1,37,1759,join_queue
human_1,1,38,1794,arrival
human_1,1,38,1794,join_queue
human_1,1,39,1797,arrival
human_1,1,39,1797,balk
human_1,1,20,1840,end_service
human_1,1,21,1840,begin_service
human_1,1,40,1889,arrival
human_1,1,40,1889,join_queue
human_1,1,41,1897,arrival
human_1,1,41,1897,balk
human_1,1,42,1899,arrival
human_1,1,42,1899,balk
human_1,1,43,1956,arrival
human_1,1,43,1956,balk
human_1,1,44,1958,arrival
human_1,1,44,1958,balk
human_1,1,21,2020,end_service
human_1,1,22,2020,begin_service
human_1,1,45,2085,arrival
human_1,1,45,2085,join_queue
human_1,1,46,2187,arrival
human_1,1,46,2187,balk
human_1,1,22,2200,end_service
human_1,1,24,2200,begin_service
human_1,1,47,2236,arrival
human_1,1,47,2236,join_queue
human_1,1,24,2260,end_service
human_1,1,25,2260,begin_service
human_1,1,48,2296,arrival
human_1,1,48,2296,join_queue
human_1,1,49,2313,arrival
human_1,1,49,2313,balk
human_1,1,25,2320,end_service
human_1,1,26,2320,begin_service
human_1,1,50,2336,arrival
human_1,1,50,2336,join_queue
human_1,1,26,2380,end_service
human_1,1,32,2380,begin_service
human_1,1,51,2385,arrival
human_1,1,51,2385,join_queue
human_1,1,52,2397,arrival
human_1,1,52,2397,balk
human_1,1,53,2417,arrival
human_1,1,53,2417,balk
human_1,1,54,2425,arrival
human_1,1,54,2425,balk
human_1,1,32,2451,end_service
human_1,1,55,2451,arrival
human_1,1,55,2451,balk
human_1,1,35,2451,begin_service
human_1,1,56,2453,arrival
human_1,1,56,2453,join_queue
human_1,1,57,2508,arrival
human_1,1,57,2508,balk
human_1,1,35,2511,end_service
human_1,1,36,2511,begin_service
human_1,1,58,2535,arrival
human_1,1,58,2535,join_queue
human_1,1,59,2562,arrival
human_1,1,59,2562,balk
human_1,1,36,2571,end_service
human_1,1,37,2571,begin_service
human_1,1,60,2577,arrival
human_1,1,60,2577,join_queue
human_1,1,61,2582,arrival
human_1,1,61,2582,balk
human_1,1,62,2619,arrival
human_1,1,62,2619,balk
human_1,1,63,2657,arrival
human_1,1,63,2657,balk
human_1,1,64,2671,arrival
human_1,1,64,2671,balk
human_1,1,65,2704,arrival
human_1,1,65,2704,balk
human_1,1,66,2741,arrival
human_1,1,66,2741,balk
human_1,1,37,2751,end_service
human_1,1,38,2751,begin_service
human_1,1,67,2784,arrival
human_1,1,67,2784,join_queue
human_1,1,68,2894,arrival
human_1,1,68,2894,balk
human_1,1,38,2905,end_service
human_1,1,40,2905,begin_service
human_1,1,40,2965,end_service
human_1,1,45,2965,begin_service
human_1,1,69,2974,arrival
human_1,1,69,2974,join_queue
human_1,1,70,2989,arrival
human_1,1,70,2989,join_queue
human_1,1,71,2991,arrival
human_1,1,71,2991,balk
human_1,1,45,3025,end_service
human_1,1,47,3025,begin_service
human_1,1,72,3029,arrival
human_1,1,72,3029,join_queue
human_1,1,73,3029,arrival
human_1,1,73,3029,balk
human_1,1,47,3085,end_service
human_1,1,48,3085,begin_service
human_1,1,74,3121,arrival
human_1,1,74,3121,join_queue
human_1,1,75,3121,arrival
human_1,1,75,3121,balk
human_1,1,48,3147,end_service
human_1,1,50,3147,begin_service
human_1,1,76,3154,arrival
human_1,1,76,3154,join_queue
human_1,1,77,3201,arrival
human_1,1,77,3201,balk
human_1,1,50,3207,end_service
human_1,1,51,3207,begin_service
human_1,1,51,3267,end_service
human_1,1,56,3267,begin_service
human_1,1,78,3273,arrival
human_1,1,78,3273,join_queue
human_1,1,79,3281,arrival
human_1,1,79,3281,join_queue
human_1,1,56,3334,end_service
human_1,1,58,3334,begin_service
human_1,1,80,3429,arrival
human_1,1,80,3429,join_queue
human_1,1,81,3483,arrival
human_1,1,81,3483,balk
human_1,1,58,3514,end_service
human_1,1,60,3514,begin_service
human_1,1,82,3539,arrival
human_1,1,82,3539,join_queue
human_1,1,60,3574,end_service
human_1,1,67,3574,begin_service
human_1,1,83,3600,arrival
human_1,1,83,3600,join_queue
human_1,1,84,3610,arrival
human_1,1,84,3610,balk
human_1,1,85,3619,arrival
human_1,1,85,3619,balk
human_1,1,67,3634,end_service
human_1,1,69,3634,begin_service
human_1,1,86,3745,arrival
human_1,1,69,3745,end_service
human_1,1,86,3745,join_queue
human_1,1,70,3745,begin_service
