barista_count_setting,interarrival_setting,caseid,time,activity
human_1,1,1,104,arrival
human_1,1,1,104,join_queue
human_1,1,1,104,begin_service
human_1,1,2,119,arrival
human_1,1,2,119,join_queue
human_1,1,1,164,end_service
human_1,1,2,164,begin_service
human_1,1,3,166,arrival
human_1,1,3,166,join_queue
human_1,1,4,178,arrival
human_1,1,4,178,join_queue
human_1,1,5,211,arrival
human_1,1,5,211,join_queue
human_1,1,2,224,end_service
human_1,1,3,224,begin_service
human_1,1,6,267,arrival
human_1,1,6,267,join_queue
human_1,1,3,305,end_service
human_1,1,4,305,begin_service
human_1,1,7,329,arrival
human_1,1,7,329,join_queue
human_1,1,8,417,arrival
human_1,1,8,417,join_queue
human_1,1,9,437,arrival
human_1,1,9,437,join_queue
human_1,1,10,469,arrival
human_1,1,10,469,join_queue
human_1,1,11,493,arrival
human_1,1,11,493,join_queue
human_1,1,12,520,arrival
human_1,1,12,520,join_queue
human_1,1,13,542,arrival
human_1,1,13,542,join_queue
human_1,1,14,594,arrival
human_1,1,14,594,join_queue
human_1,1,4,598,end_service
human_1,1,5,598,begin_service
human_1,1,15,601,arrival
human_1,1,15,601,join_queue
human_1,1,5,658,end_service
human_1,1,6,658,begin_service
human_1,1,16,716,arrival
human_1,1,16,716,join_queue
human_1,1,6,718,end_service
human_1,1,7,718,begin_service
human_1,1,17,756,arrival
human_1,1,17,756,join_queue
human_1,1,18,811,arrival
human_1,1,18,811,balk
human_1,1,7,814,end_service
human_1,1,8,814,begin_service
human_1,1,19,845,arrival
human_1,1,19,845,join_queue
human_1,1,8,891,end_service
human_1,1,9,891,begin_service
human_1,1,20,966,arrival
human_1,1,20,966,join_queue
human_1,1,9,984,end_service
human_1,1,10,984,begin_service
human_1,1,21,1006,arrival
human_1,1,21,1006,join_queue
human_1,1,10,1044,end_service
human_1,1,11,1044,begin_service
human_1,1,22,1058,arrival
human_1,1,22,1058,join_queue
human_1,1,23,1105,arrival
human_1,1,23,1105,balk
human_1,1,11,1180,end_service
human_1,1,12,1180,begin_service
human_1,1,24,1251,arrival
human_1,1,24,1251,join_queue
human_1,1,25,1325,arrival
human_1,1,25,1325,balk
human_1,1,26,1331,arrival
human_1,1,26,1331,balk
human_1,1,12,1363,end_service
human_1,1,13,1363,begin_service
human_1,1,13,1423,end_service
human_1,1,14,1423,begin_service
human_1,1,14,1483,end_service
human_1,1,15,1483,begin_service
human_1,1,27,1514,arrival
human_1,1,27,1514,join_queue
human_1,1,15,1543,end_service
human_1,1,16,1543,begin_service
human_1,1,28,1554,arrival
human_1,1,28,1554,join_queue
human_1,1,16,1603,end_service
human_1,1,17,1603,begin_service
human_1,1,29,1615,arrival
human_1,1,29,1615,join_queue
human_1,1,30,1703,arrival
human_1,1,30,1703,join_queue
human_1,1,31,1720,arrival
human_1,1,31,1720,join_queue
human_1,1,17,1730,end_service
human_1,1,32,1730,arrival
human_1,1,32,1730,balk
human_1,1,19,1730,begin_service
human_1,1,19,1790,end_service
human_1,1,20,1790,begin_service
human_1,1,33,1871,arrival
human_1,1,33,1871,join_queue
human_1,1,20,1894,end_service
human_1,1,21,1894,begin_service
human_1,1,34,1912,arrival
human_1,1,34,1912,join_queue
human_1,1,35,1954,arrival
human_1,1,35,1954,join_queue
human_1,1,36,2021,arrival
human_1,1,36,2021,balk
human_1,1,37,2056,arrival
human_1,1,37,2056,balk
human_1,1,38,2059,arrival
human_1,1,38,2059,balk
human_1,1,21,2103,end_service
human_1,1,22,2103,begin_service
human_1,1,39,2151,arrival
human_1,1,39,2151,join_queue
human_1,1,40,2159,arrival
human_1,1,40,2159,balk
human_1,1,41,2161,arrival
human_1,1,41,2161,balk
human_1,1,42,2218,arrival
human_1,1,42,2218,balk
human_1,1,43,2220,arrival
human_1,1,43,2220,balk
human_1,1,44,2347,arrival
human_1,1,44,2347,balk
human_1,1,22,2403,end_service
human_1,1,24,2403,begin_service
human_1,1,45,2499,arrival
human_1,1,45,2499,join_queue
human_1,1,46,2548,arrival
human_1,1,46,2548,balk
human_1,1,47,2562,arrival
human_1,1,47,2562,balk
human_1,1,24,2606,end_service
human_1,1,27,2606,begin_service
human_1,1,48,2622,arrival
human_1,1,48,2622,join_queue
human_1,1,49,2639,arrival
human_1,1,49,2639,balk
human_1,1,50,2662,arrival
human_1,1,50,2662,balk
human_1,1,51,2664,arrival
human_1,1,51,2664,balk
human_1,1,27,2666,end_service
human_1,1,28,2666,begin_service
human_1,1,52,2713,arrival
human_1,1,52,2713,join_queue
human_1,1,53,2725,arrival
human_1,1,53,2725,balk
human_1,1,54,2745,arrival
human_1,1,54,2745,balk
human_1,1,55,2753,arrival
human_1,1,55,2753,balk
human_1,1,28,2761,end_service
human_1,1,29,2761,begin_service
human_1,1,56,2779,arrival
human_1,1,56,2779,join_queue
human_1,1,57,2817,arrival
human_1,1,57,2817,balk
human_1,1,29,2821,end_service
human_1,1,30,2821,begin_service
human_1,1,58,2872,arrival
human_1,1,58,2872,join_queue
human_1,1,30,2881,end_service
human_1,1,31,2881,begin_service
human_1,1,59,2895,arrival
human_1,1,59,2895,join_queue
human_1,1,60,2910,arrival
human_1,1,60,2910,balk
human_1,1,31,2941,end_service
human_1,1,33,2941,begin_service
human_1,1,33,3001,end_service
human_1,1,34,3001,begin_service
human_1,1,61,3055,arrival
human_1,1,61,3055,join_queue
human_1,1,34,3075,end_service
human_1,1,35,3075,begin_service
human_1,1,62,3093,arrival
human_1,1,62,3093,join_queue
human_1,1,63,3126,arrival
human_1,1,63,3126,join_queue
human_1,1,35,3135,end_service
human_1,1,39,3135,begin_service
human_1,1,64,3163,arrival
human_1,1,64,3163,join_queue
human_1,1,39,3221,end_service
human_1,1,45,3221,begin_service
human_1,1,65,3266,arrival
human_1,1,65,3266,join_queue
human_1,1,66,3346,arrival
human_1,1,66,3346,balk
human_1,1,67,3381,arrival
human_1,1,67,3381,balk
human_1,1,68,3404,arrival
human_1,1,68,3404,balk
human_1,1,69,3419,arrival
human_1,1,69,3419,balk
human_1,1,70,3421,arrival
human_1,1,70,3421,balk
human_1,1,45,3441,end_service
human_1,1,48,3441,begin_service
human_1,1,71,3459,arrival
human_1,1,71,3459,join_queue
human_1,1,72,3459,arrival
human_1,1,72,3459,balk
human_1,1,48,3501,end_service
human_1,1,52,3501,begin_service
human_1,1,73,3551,arrival
human_1,1,73,3551,join_queue
human_1,1,74,3551,arrival
human_1,1,74,3551,balk
human_1,1,52,3584,end_service
human_1,1,75,3584,arrival
human_1,1,75,3584,balk
human_1,1,56,3584,begin_service
human_1,1,76,3589,arrival
human_1,1,76,3589,join_queue
human_1,1,77,3661,arrival
human_1,1,77,3661,balk
human_1,1,56,3678,end_service
human_1,1,58,3678,begin_service
human_1,1,78,3691,arrival
human_1,1,78,3691,join_queue
human_1,1,79,3699,arrival
human_1,1,79,3699,balk
human_1,1,58,3767,end_service
human_1,1,59,3767,begin_service
human_1,1,80,3847,arrival
human_1,1,80,3847,join_queue
human_1,1,81,3901,arrival
human_1,1,81,3901,balk
human_1,1,82,3957,arrival
human_1,1,82,3957,balk
human_1,1,83,3984,arrival
human_1,1,83,3984,balk
human_1,1,59,4030,end_service
human_1,1,61,4030,begin_service
human_1,1,84,4045,arrival
human_1,1,84,4045,join_queue
human_1,1,85,4055,arrival
human_1,1,85,4055,balk
human_1,1,86,4064,arrival
human_1,1,86,4064,balk
human_1,1,61,4090,end_service
human_1,1,62,4090,begin_service
human_1,1,87,4190,arrival
human_1,1,87,4190,join_queue
human_1,1,62,4238,end_service
human_1,1,63,4238,begin_service
