barista_count_setting,interarrival_setting,caseid,time,activity
human_3,1,1,104,arrival
human_3,1,1,104,join_queue
human_3,1,1,104,begin_service
human_3,1,2,119,arrival
human_3,1,2,119,join_queue
human_3,1,2,119,begin_service
human_3,1,1,164,end_service
human_3,1,3,166,arrival
human_3,1,3,166,join_queue
human_3,1,3,166,begin_service
human_3,1,4,178,arrival
human_3,1,4,178,join_queue
human_3,1,4,178,begin_service
human_3,1,2,179,end_service
human_3,1,3,232,end_service
human_3,1,5,234,arrival
human_3,1,5,234,join_queue
human_3,1,5,234,begin_service
human_3,1,4,259,end_service
human_3,1,6,296,arrival
human_3,1,6,296,join_queue
human_3,1,6,296,begin_service
human_3,1,6,356,end_service
human_3,1,7,384,arrival
human_3,1,7,384,join_queue
human_3,1,7,384,begin_service
human_3,1,8,416,arrival
human_3,1,8,416,join_queue
human_3,1,8,416,begin_service
human_3,1,9,443,arrival
human_3,1,9,443,join_queue
human_3,1,7,444,end_service
human_3,1,9,444,begin_service
human_3,1,8,476,end_service
human_3,1,10,495,arrival
human_3,1,10,495,join_queue
human_3,1,10,495,begin_service
human_3,1,9,504,end_service
human_3,1,11,519,arrival
human_3,1,11,519,join_queue
human_3,1,11,519,begin_service
human_3,1,5,527,end_service
human_3,1,12,530,arrival
human_3,1,12,530,join_queue
human_3,1,12,530,begin_service
human_3,1,13,578,arrival
human_3,1,13,578,join_queue
human_3,1,11,598,end_service
human_3,1,13,598,begin_service
human_3,1,14,612,arrival
human_3,1,14,612,join_queue
human_3,1,12,641,end_service
human_3,1,14,641,begin_service
human_3,1,13,675,end_service
human_3,1,10,725,end_service
human_3,1,15,733,arrival
human_3,1,15,733,join_queue
human_3,1,15,733,begin_service
human_3,1,14,734,end_service
human_3,1,16,773,arrival
human_3,1,16,773,join_queue
human_3,1,16,773,begin_service
human_3,1,15,793,end_service
human_3,1,17,825,arrival
human_3,1,17,825,join_queue
human_3,1,17,825,begin_service
human_3,1,18,872,arrival
human_3,1,18,872,join_queue
human_3,1,18,872,begin_service
human_3,1,16,909,end_service
human_3,1,19,963,arrival
human_3,1,19,963,join_queue
human_3,1,19,963,begin_service
human_3,1,20,969,arrival
human_3,1,20,969,join_queue
human_3,1,21,984,arrival
human_3,1,21,984,join_queue
human_3,1,22,988,arrival
human_3,1,22,988,join_queue
human_3,1,23,992,arrival
human_3,1,23,992,join_queue
human_3,1,18,1021,end_service
human_3,1,20,1021,begin_service
human_3,1,24,1032,arrival
human_3,1,24,1032,join_queue
human_3,1,20,1081,end_service
human_3,1,21,1081,begin_service
human_3,1,25,1093,arrival
human_3,1,25,1093,join_queue
human_3,1,17,1118,end_service
human_3,1,22,1118,begin_service
human_3,1,22,1178,end_service
human_3,1,23,1178,begin_service
human_3,1,26,1181,arrival
human_3,1,26,1181,join_queue
human_3,1,21,1208,end_service
human_3,1,24,1208,begin_service
human_3,1,23,1238,end_service
human_3,1,25,1238,begin_service
human_3,1,19,1263,end_service
human_3,1,26,1263,begin_service
human_3,1,24,1268,end_service
human_3,1,27,1322,arrival
human_3,1,27,1322,join_queue
human_3,1,27,1322,begin_service
human_3,1,25,1342,end_service
human_3,1,26,1345,end_service
human_3,1,27,1406,end_service
human_3,1,28,1426,arrival
human_3,1,28,1426,join_queue
human_3,1,28,1426,begin_service
human_3,1,29,1493,arrival
human_3,1,29,1493,join_queue
human_3,1,29,1493,begin_service
human_3,1,30,1496,arrival
human_3,1,30,1496,join_queue
human_3,1,30,1496,begin_service
human_3,1,28,1497,end_service
human_3,1,30,1556,end_service
human_3,1,29,1678,end_service
human_3,1,31,1723,arrival
human_3,1,31,1723,join_queue
human_3,1,31,1723,begin_service
human_3,1,32,1725,arrival
human_3,1,32,1725,join_queue
human_3,1,32,1725,begin_service
human_3,1,33,1727,arrival
human_3,1,33,1727,join_queue
human_3,1,33,1727,begin_service
human_3,1,31,1837,end_service
human_3,1,34,1879,arrival
human_3,1,34,1879,join_queue
human_3,1,34,1879,begin_service
human_3,1,35,1928,arrival
human_3,1,35,1928,join_queue
human_3,1,33,1930,end_service
human_3,1,35,1930,begin_service
human_3,1,34,1939,end_service
human_3,1,32,1979,end_service
human_3,1,36,1988,arrival
human_3,1,36,1988,join_queue
human_3,1,36,1988,begin_service
human_3,1,35,1990,end_service
human_3,1,37,2005,arrival
human_3,1,37,2005,join_queue
human_3,1,37,2005,begin_service
human_3,1,38,2007,arrival
human_3,1,38,2007,join_queue
human_3,1,38,2007,begin_service
human_3,1,36,2048,end_service
human_3,1,39,2055,arrival
human_3,1,39,2055,join_queue
human_3,1,39,2055,begin_service
human_3,1,38,2067,end_service
human_3,1,40,2075,arrival
human_3,1,40,2075,join_queue
human_3,1,40,2075,begin_service
human_3,1,41,2101,arrival
human_3,1,41,2101,join_queue
human_3,1,37,2103,end_service
human_3,1,41,2103,begin_service
human_3,1,39,2115,end_service
human_3,1,40,2135,end_service
human_3,1,42,2139,arrival
human_3,1,42,2139,join_queue
human_3,1,42,2139,begin_service
human_3,1,43,2166,arrival
human_3,1,43,2166,join_queue
human_3,1,43,2166,begin_service
human_3,1,44,2193,arrival
human_3,1,44,2193,join_queue
human_3,1,42,2199,end_service
human_3,1,44,2199,begin_service
human_3,1,41,2212,end_service
human_3,1,43,2226,end_service
human_3,1,44,2259,end_service
human_3,1,45,2338,arrival
human_3,1,45,2338,join_queue
human_3,1,45,2338,begin_service
human_3,1,46,2375,arrival
human_3,1,46,2375,join_queue
human_3,1,46,2375,begin_service
human_3,1,47,2389,arrival
human_3,1,47,2389,join_queue
human_3,1,47,2389,begin_service
human_3,1,45,2413,end_service
human_3,1,48,2426,arrival
human_3,1,48,2426,join_queue
human_3,1,48,2426,begin_service
human_3,1,46,2441,end_service
human_3,1,47,2475,end_service
human_3,1,49,2529,arrival
human_3,1,49,2529,join_queue
human_3,1,49,2529,begin_service
human_3,1,49,2598,end_service
human_3,1,50,2609,arrival
human_3,1,50,2609,join_queue
human_3,1,50,2609,begin_service
human_3,1,51,2632,arrival
human_3,1,51,2632,join_queue
human_3,1,51,2632,begin_service
human_3,1,52,2634,arrival
human_3,1,52,2634,join_queue
human_3,1,48,2646,end_service
human_3,1,52,2646,begin_service
human_3,1,53,2649,arrival
human_3,1,53,2649,join_queue
human_3,1,50,2669,end_service
human_3,1,53,2669,begin_service
human_3,1,52,2706,end_service
human_3,1,51,2707,end_service
human_3,1,54,2741,arrival
human_3,1,54,2741,join_queue
human_3,1,55,2741,arrival
human_3,1,54,2741,begin_service
human_3,1,55,2741,join_queue
human_3,1,55,2741,begin_service
human_3,1,56,2746,arrival
human_3,1,56,2746,join_queue
human_3,1,53,2752,end_service
human_3,1,56,2752,begin_service
human_3,1,54,2807,end_service
human_3,1,56,2812,end_service
human_3,1,57,2818,arrival
human_3,1,57,2818,join_queue
human_3,1,57,2818,begin_service
human_3,1,55,2835,end_service
human_3,1,58,2863,arrival
human_3,1,58,2863,join_queue
human_3,1,58,2863,begin_service
human_3,1,57,2878,end_service
human_3,1,59,3011,arrival
human_3,1,59,3011,join_queue
human_3,1,59,3011,begin_service
human_3,1,60,3065,arrival
human_3,1,60,3065,join_queue
human_3,1,60,3065,begin_service
human_3,1,61,3092,arrival
human_3,1,61,3092,join_queue
human_3,1,62,3094,arrival
human_3,1,62,3094,join_queue
human_3,1,63,3104,arrival
human_3,1,63,3104,join_queue
human_3,1,64,3113,arrival
human_3,1,64,3113,join_queue
human_3,1,59,3124,end_service
human_3,1,61,3124,begin_service
human_3,1,58,3126,end_service
human_3,1,62,3126,begin_service
human_3,1,60,3186,end_service
human_3,1,63,3186,begin_service
human_3,1,65,3239,arrival
human_3,1,65,3239,join_queue
human_3,1,63,3246,end_service
human_3,1,64,3246,begin_service
human_3,1,66,3271,arrival
human_3,1,66,3271,join_queue
human_3,1,61,3272,end_service
human_3,1,65,3272,begin_service
human_3,1,67,3288,arrival
human_3,1,67,3288,join_queue
human_3,1,64,3306,end_service
human_3,1,66,3306,begin_service
human_3,1,62,3308,end_service
human_3,1,67,3308,begin_service
human_3,1,65,3333,end_service
human_3,1,68,3348,arrival
human_3,1,68,3348,join_queue
human_3,1,68,3348,begin_service
human_3,1,66,3375,end_service
human_3,1,69,3390,arrival
human_3,1,69,3390,join_queue
human_3,1,69,3390,begin_service
human_3,1,67,3427,end_service
human_3,1,70,3428,arrival
human_3,1,70,3428,join_queue
human_3,1,70,3428,begin_service
human_3,1,68,3439,end_service
human_3,1,71,3448,arrival
human_3,1,71,3448,join_queue
human_3,1,71,3448,begin_service
human_3,1,69,3487,end_service
human_3,1,72,3493,arrival
human_3,1,72,3493,join_queue
human_3,1,72,3493,begin_service
human_3,1,71,3551,end_service
human_3,1,73,3596,arrival
